Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13
World,"2,181,308","2,248,863","2,330,766","2,406,575","2,480,503","2,555,760","2,635,716","2,723,169","2,828,826","2,919,404","2,993,262","3,062,515","3,136,508","3,218,184","3,304,220","3,398,473","3,481,371","3,563,689","3,643,271","3,724,518","3,817,382","3,913,644","4,009,291","4,098,288","4,178,154","4,252,290","4,337,602","4,425,656","4,521,989","4,621,414","4,717,009","4,799,266","4,888,124","4,982,937","5,083,411","5,190,496","5,298,207","5,397,950","5,494,455","5,584,267","5,678,146","5,784,603","5,900,907","6,026,380","6,150,482","6,259,250","6,363,196","6,441,282","6,562,696","6,692,694","6,839,487","6,969,122","7,082,263","7,189,858","7,310,832","7,445,873","7,585,099","7,727,093","7,859,879","7,983,437","8,108,667","8,251,224","8,428,600","8,570,384","8,750,990","8,908,555","9,038,937","9,182,575","9,345,569","9,520,818","9,702,386","9,898,547","10,075,115","10,238,287","10,402,906","10,577,756","10,795,162","10,974,421","11,182,576","11,372,202","11,550,542","11,732,581","11,942,118","12,155,602","12,379,259","12,616,578","12,833,505","13,028,182","13,229,741","13,448,407","13,683,805","13,939,096","14,179,830","14,414,659","14,635,552","14,845,960","15,084,877","15,365,917","15,642,265","15,931,445","16,189,203","16,410,414","16,635,972","16,884,064","17,177,778","17,463,220","17,752,916","18,008,407","18,226,892","18,435,341","18,693,531","18,965,479","19,246,679","19,532,532","19,795,077","20,016,368","20,245,425","20,511,458","20,797,157","21,057,706"
China,"82,341","82,692","82,719","82,735","82,747","82,758","82,788","82,798","82,804","82,816","82,827","82,830","82,836","82,858","82,862","82,874","82,875","82,877","82,880","82,881","82,883","82,885","82,886","82,887","82,901","82,918","82,919","82,926","82,929","82,933","82,941","82,947","82,954","82,960","82,965","82,967","82,971","82,971","82,974","82,985","82,992","82,993","82,995","82,995","82,999","83,001","83,017","83,021","83,021","83,022","83,027","83,030","83,036","83,040","83,043","83,046","83,057","83,064","83,075","83,132","83,181","83,221","83,265","83,293","83,325","83,352","83,378","83,396","83,418","83,430","83,449","83,462","83,483","83,500","83,512","83,531","83,534","83,537","83,542","83,545","83,553","83,557","83,565","83,572","83,581","83,585","83,587","83,594","83,602","83,605","83,611","83,612","83,622","83,644","83,660","83,682","83,693","83,707","83,729","83,750","83,784","83,830","83,891","83,959","84,060","84,165","84,292","84,336","84,385","84,428","84,464","84,491","84,528","84,565","84,596","84,619","84,668","84,712","84,737","84,756"
USA,"677,570","709,735","738,792","764,636","792,759","818,744","848,717","886,442","925,232","960,651","987,160","1,010,356","1,035,765","1,064,194","1,095,023","1,131,030","1,160,774","1,188,122","1,212,835","1,237,633","1,263,092","1,292,623","1,321,785","1,347,309","1,367,638","1,385,834","1,408,636","1,430,348","1,457,593","1,484,285","1,507,773","1,527,664","1,550,294","1,570,583","1,592,723","1,620,902","1,645,094","1,666,828","1,686,436","1,706,226","1,725,275","1,745,803","1,768,461","1,793,530","1,816,820","1,837,170","1,859,323","1,881,205","1,901,783","1,924,051","1,965,708","1,988,544","2,007,449","2,026,493","2,045,549","2,066,401","2,089,701","2,116,922","2,142,224","2,162,228","2,182,950","2,208,400","2,234,471","2,263,651","2,297,190","2,330,578","2,356,657","2,388,153","2,424,168","2,462,554","2,504,588","2,552,956","2,596,537","2,637,077","2,681,811","2,727,853","2,779,953","2,837,189","2,890,588","2,935,770","2,982,928","3,040,192","3,097,084","3,158,932","3,219,999","3,291,786","3,355,646","3,413,995","3,479,483","3,545,077","3,616,827","3,695,025","3,770,012","3,833,271","3,898,550","3,961,429","4,028,569","4,100,875","4,170,318","4,248,327","4,315,709","4,371,839","4,433,410","4,498,343","4,568,037","4,634,985","4,705,889","4,764,318","4,813,647","4,862,174","4,918,420","4,973,568","5,032,179","5,095,524","5,149,723","5,199,444","5,251,446","5,305,957","5,360,302","5,415,666"
Spain,"184,948","190,839","194,416","198,674","200,210","204,178","208,389","213,024","219,764","223,759","226,629","229,422","232,128","236,899","239,639","242,988","245,589","247,122","248,301","250,561","253,682","256,855","260,117","262,783","264,663","268,143","269,520","271,095","272,646","274,367","276,505","277,719","278,188","278,803","279,524","280,117","281,904","282,370","282,852","282,480","283,339","283,849","284,986","285,644","286,308","286,509","286,718","287,012","287,406","287,740","288,058","288,390","288,630","288,797","289,046","289,360","289,787","290,289","290,685","291,008","291,189","291,408","291,763","292,348","292,655","293,018","293,352","293,584","293,832","294,166","294,566","294,985","295,549","295,850","296,050","296,351","296,739","297,183","297,625","297,625","297,625","298,869","299,210","299,593","300,136","300,988","300,988","300,988","303,033","303,699","304,574","305,935","307,335","307,335","307,335","311,916","313,274","314,631","317,246","319,501","319,501","319,501","325,862","327,690","329,721","332,510","335,602","335,602","335,602","344,134","349,894","352,847","354,530","361,442","361,442","361,442","370,060","373,692","376,864","355,856"
Italy,"168,941","172,434","175,925","178,972","181,228","183,957","187,327","189,973","192,994","195,351","197,675","199,414","201,505","203,591","205,463","207,428","209,328","210,717","211,938","213,013","214,457","215,858","217,185","218,268","219,070","219,814","221,216","222,104","223,096","223,885","224,760","225,435","225,886","226,699","227,364","228,006","228,658","229,327","229,858","230,158","230,555","231,139","231,732","232,248","232,664","232,997","233,197","233,515","233,836","234,013","234,531","234,801","234,998","235,278","235,561","235,763","236,142","236,305","236,651","236,989","237,290","237,500","237,828","238,159","238,011","238,275","238,499","238,720","238,833","239,410","239,706","239,961","240,136","240,310","240,436","240,578","240,760","240,961","241,184","241,419","241,611","241,819","241,956","242,149","242,363","242,639","242,827","243,061","243,230","243,344","243,506","243,736","243,967","244,216","244,434","244,624","244,752","245,032","245,338","245,590","245,864","246,118","246,286","246,487","246,776","247,158","247,537","247,832","248,070","248,229","248,419","248,803","249,204","249,756","250,103","250,566","250,825","251,237","251,713","252,235"
France,"165,027","147,969","151,793","152,894","155,383","158,050","159,877","158,183","159,828","161,488","162,100","165,842","165,911","166,420","167,178","167,346","168,396","168,693","169,462","170,551","174,191","174,791","176,079","176,658","176,970","177,423","178,225","178,060","178,870","179,506","179,365","179,569","179,927","180,809","181,575","181,826","182,219","182,469","182,584","182,942","182,722","182,913","186,238","186,797","188,625","188,882","189,220","151,325","151,677","152,444","153,055","153,634","153,977","154,188","154,591","155,136","155,561","156,287","156,813","157,220","157,372","157,716","158,174","158,641","159,452","160,093","160,377","160,750","161,267","161,348","161,348","162,936","162,936","162,936","164,260","164,801","165,719","166,378","166,960","166,960","166,960","168,335","168,810","169,473","170,094","170,752","170,752","170,752","172,377","172,377","173,304","173,838","174,674","174,674","174,674","176,754","177,338","178,336","179,398","180,528","180,528","180,528","183,079","183,804","185,196","186,573","187,919","187,919","187,919","191,295","192,334","194,029","195,633","197,921","197,921","197,921","202,775","204,172","206,696","209,365"
Germany,"137,698","141,397","143,724","145,742","147,065","148,453","150,648","153,129","154,999","156,513","157,770","158,758","159,912","161,539","163,009","164,077","164,967","165,664","166,152","167,007","168,162","169,430","170,588","171,324","171,879","172,576","173,171","174,098","174,975","175,699","176,244","176,651","177,289","177,827","178,531","179,021","179,713","179,986","180,328","180,789","181,288","181,895","182,452","183,019","183,294","183,494","183,765","184,091","184,425","184,923","185,414","185,696","185,869","186,205","186,516","186,510","186,795","187,251","187,423","187,671","188,044","188,382","189,504","190,126","190,660","191,216","191,575","192,119","192,778","193,254","193,785","194,399","194,689","194,864","195,392","195,832","196,324","196,717","197,000","197,418","197,558","198,057","198,355","198,765","199,198","199,588","199,812","199,950","200,436","200,766","201,252","201,836","202,345","202,572","202,845","203,487","203,890","204,470","205,142","205,960","206,332","206,741","207,379","207,951","208,811","209,653","210,665","211,077","211,462","212,320","213,080","214,104","215,210","216,315","216,896","217,281","218,500","219,530","220,850","222,269"
UK,"103,093","108,692","114,217","120,067","124,743","129,044","133,495","138,078","143,464","148,377","152,840","157,149","161,145","165,221","171,253","177,454","182,260","186,599","190,584","194,990","201,101","206,715","211,364","215,260","219,183","223,060","226,463","229,705","233,151","236,711","240,161","243,695","246,406","248,818","248,293","250,908","254,195","257,154","259,559","261,184","265,227","267,240","269,127","271,222","272,826","274,762","276,332","277,985","279,856","281,661","283,311","284,868","286,194","287,399","289,140","290,143","291,409","292,950","294,375","295,889","296,857","298,136","299,251","300,469","301,815","303,110","304,331","305,289","306,210","306,862","307,980","309,360","310,250","311,151","311,965","312,654","313,483","283,757","284,276","284,900","285,416","285,768","286,349","286,979","287,621","288,133","288,953","289,603","290,133","291,373","291,911","292,552","293,239","294,066","294,792","295,372","295,817","296,377","297,146","297,914","298,681","299,426","300,111","300,692","301,455","302,301","303,181","303,952","304,695","305,623","306,293","307,184","308,134","309,005","309,763","310,825","311,641","312,789","313,798","313,798"
Turkey,"74,193","78,546","82,329","86,306","90,980","95,591","98,674","101,790","104,912","107,773","110,130","112,261","114,653","117,589","120,204","122,392","124,375","126,045","127,659","129,491","131,744","133,721","135,569","137,115","138,657","139,771","141,475","143,114","144,749","146,457","148,067","149,435","150,593","151,615","152,587","153,548","154,500","155,686","156,827","157,814","158,762","159,797","160,979","162,120","163,103","163,942","164,769","165,555","166,422","167,410","168,340","169,218","170,132","171,121","172,114","173,036","174,023","175,218","176,677","178,239","179,831","181,298","182,727","184,031","185,245","186,493","187,685","188,897","190,165","191,657","193,115","194,511","195,883","197,239","198,613","199,906","201,098","202,284","203,456","204,610","205,758","206,844","207,897","208,938","209,962","210,965","211,981","212,993","214,001","214,993","215,940","216,873","217,799","218,717","219,641","220,572","221,500","222,402","223,315","224,252","225,173","226,100","227,019","227,982","228,924","229,891","230,873","231,869","232,856","233,851","234,934","236,112","237,265","238,450","239,622","240,804","241,997","243,180","244,392","245,635"
Iran,"77,995","79,494","80,868","82,211","83,505","84,802","85,996","87,026","88,194","89,328","90,481","91,472","92,584","93,657","94,640","95,646","96,448","97,424","98,647","99,970","101,650","103,135","104,691","106,220","107,603","109,286","110,767","112,725","114,533","116,635","118,392","120,198","122,492","124,603","126,949","129,341","131,652","133,521","135,701","137,724","139,511","141,591","143,849","146,668","148,950","151,466","154,445","157,562","160,696","164,270","167,156","169,425","171,789","173,832","175,927","177,938","180,156","182,545","184,955","187,427","189,876","192,439","195,051","197,647","200,262","202,584","204,952","207,525","209,970","212,501","215,096","217,724","220,180","222,669","225,205","227,662","230,211","232,863","235,429","237,878","240,438","243,051","245,688","248,379","250,458","252,720","255,117","257,303","259,652","262,173","264,561","267,061","269,440","271,606","273,788","276,202","278,827","281,413","284,034","286,523","288,839","291,172","293,606","296,273","298,909","301,530","304,204","306,752","309,437","312,035","314,786","317,483","320,117","322,567","324,692","326,712","328,844","331,189","333,699","336,324"
Russia,"27,938","32,008","36,793","42,853","47,121","52,763","57,999","62,773","68,622","74,588","80,949","87,147","93,558","99,399","106,498","114,431","124,054","134,687","145,268","155,370","165,929","177,160","187,859","198,676","209,688","221,344","232,243","242,271","252,245","262,843","272,043","281,752","290,678","299,941","308,705","317,554","326,448","335,882","344,481","353,427","362,342","370,680","379,051","387,623","396,575","405,843","414,878","423,741","432,277","441,108","449,834","458,689","467,673","476,658","485,253","493,657","502,436","511,423","520,129","528,964","537,210","545,458","553,301","561,091","569,063","576,952","584,680","592,280","599,705","606,881","613,994","620,794","627,646","634,437","641,156","647,849","654,405","661,165","667,883","674,515","681,251","687,862","694,230","700,792","707,301","713,936","720,547","727,162","733,699","739,947","746,369","752,797","759,203","765,437","771,546","777,486","783,328","789,190","795,038","800,849","806,720","812,485","818,120","823,515","828,990","834,499","839,981","845,443","850,870","856,264","861,423","866,627","871,894","877,135","882,347","887,536","892,654","897,599","902,701","907,758"
Brazil,"30,683","33,682","36,722","38,654","40,743","43,079","45,757","49,492","52,995","59,196","62,859","66,501","72,899","79,361","85,380","92,109","96,559","101,147","108,266","114,715","126,611","135,693","145,892","156,061","162,699","169,143","177,602","189,157","202,918","218,223","233,142","241,080","255,368","271,885","293,357","310,921","330,890","347,398","363,618","376,669","392,360","414,661","438,812","468,338","498,440","514,849","529,405","556,668","583,980","615,870","646,006","673,587","691,962","710,887","742,084","775,184","805,649","829,902","850,796","867,882","891,556","928,834","960,309","983,359","1,038,568","1,070,139","1,086,990","1,111,348","1,151,479","1,192,474","1,233,147","1,280,054","1,315,941","1,345,254","1,370,488","1,408,485","1,453,369","1,501,353","1,543,341","1,578,376","1,604,585","1,626,071","1,674,655","1,716,196","1,759,103","1,804,338","1,840,812","1,866,176","1,887,959","1,931,204","1,970,909","2,014,738","2,048,697","2,075,246","2,099,896","2,121,645","2,166,532","2,231,871","2,289,951","2,348,200","2,396,434","2,419,901","2,443,480","2,484,649","2,555,518","2,613,789","2,666,298","2,708,876","2,733,677","2,751,665","2,808,076","2,862,761","2,917,562","2,967,064","3,013,369","3,035,582","3,057,470","3,112,393","3,170,474","3,229,621"
Canada,"30,106","31,927","33,383","35,056","36,829","38,422","40,190","42,110","43,888","45,354","46,895","48,500","50,026","51,597","53,236","55,061","56,714","59,474","60,772","62,046","63,496","64,922","66,434","67,702","68,848","69,981","71,157","72,278","73,401","74,613","75,864","77,002","78,072","79,112","80,142","81,324","82,480","83,621","84,699","85,711","86,647","87,519","88,512","89,418","90,190","90,947","91,705","92,410","93,085","93,726","94,335","95,057","95,699","96,244","96,653","97,125","97,530","97,943","98,410","98,787","99,147","99,467","99,853","100,220","100,629","101,019","101,337","101,637","101,963","102,242","102,622","102,794","103,032","103,250","103,918","104,204","104,271","104,772","105,091","105,317","105,536","105,935","106,167","106,434","106,805","107,126","107,347","107,590","108,155","108,486","108,829","109,264","109,669","109,999","110,338","111,124","111,697","112,240","112,672","113,206","113,556","113,911","114,597","114,994","115,470","115,799","116,312","116,599","116,884","117,031","117,792","118,187","118,561","118,985","119,221","119,451","120,132","120,421","120,844","121,234"
Belgium,"34,809","36,138","37,183","38,496","39,983","40,956","41,889","42,797","44,293","45,325","46,134","46,687","47,334","47,859","48,519","49,032","49,517","49,906","50,267","50,509","50,781","51,420","52,011","52,596","53,081","53,449","53,779","53,981","54,288","54,644","54,989","55,280","55,559","55,791","55,983","56,235","56,511","56,810","57,092","57,342","57,455","57,592","57,849","58,061","58,186","58,381","58,517","58,615","58,685","58,767","58,907","59,072","59,226","59,348","59,437","59,569","59,711","59,819","59,918","60,029","60,100","60,155","60,244","60,348","60,476","60,550","60,550","60,550","60,810","60,898","61,007","61,106","61,209","61,295","61,361","61,427","61,509","61,598","61,727","61,838","61,909","62,016","62,058","62,123","62,210","62,357","62,469","62,606","62,707","62,781","62,872","63,039","63,238","63,499","63,706","63,893","64,094","64,258","64,627","64,847","65,199","65,727","66,026","66,428","66,662","67,335","68,006","68,751","69,402","69,849","70,314","70,648","71,158","72,016","72,784","73,401","74,152","74,620","75,008","75,647"
Netherlands,"29,214","30,449","31,589","32,655","33,405","34,134","34,842","35,729","36,535","37,190","37,845","38,245","38,416","38,802","39,316","39,791","40,236","40,571","40,770","41,087","41,319","41,774","42,093","42,382","42,627","42,788","42,984","43,211","43,481","43,681","43,870","43,995","44,141","44,249","44,447","44,700","44,888","45,064","45,236","45,445","45,578","45,768","45,950","46,126","46,257","46,442","46,545","46,647","46,733","46,942","47,152","47,335","47,574","47,739","47,903","48,087","48,251","48,461","48,640","48,783","48,948","49,087","49,204","49,319","49,426","49,502","49,593","49,658","49,722","49,804","49,914","50,005","50,074","50,147","50,223","50,273","50,335","50,335","50,335","50,335","50,621","50,657","50,694","50,746","50,798","50,840","50,921","51,022","51,093","51,146","51,252","51,351","51,454","51,581","51,725","51,910","52,073","52,241","52,404","52,595","52,732","52,946","53,151","53,374","53,621","53,963","54,301","54,732","55,098","55,470","55,955","56,381","56,982","57,501","57,987","58,564","59,194","59,973","60,627","61,204"
Switzerland,"26,732","27,078","27,404","27,740","27,944","28,063","28,268","28,496","28,677","28,894","29,061","29,164","29,264","29,407","29,586","29,705","29,817","29,905","29,981","30,009","30,060","30,126","30,207","30,251","30,305","30,344","30,380","30,413","30,463","30,514","30,572","30,587","30,597","30,618","30,658","30,694","30,707","30,725","30,736","30,746","30,761","30,776","30,796","30,828","30,845","30,862","30,871","30,874","30,893","30,913","30,936","30,956","30,965","30,972","30,988","31,011","31,044","31,063","31,094","31,117","31,131","31,154","31,187","31,200","31,235","31,243","31,292","31,310","31,332","31,376","31,428","31,486","31,555","31,617","31,652","31,714","31,851","31,967","32,101","32,198","32,268","32,315","32,369","32,498","32,586","32,690","32,817","32,883","32,946","33,016","33,148","33,290","33,382","33,492","33,591","33,634","33,742","33,883","34,000","34,154","34,302","34,412","34,477","34,609","34,802","35,022","35,232","35,412","35,550","35,616","35,746","35,927","36,108","36,269","36,451","36,603","36,708","36,895","37,169","37,403"
India,"13,430","14,352","16,365","17,615","18,539","20,080","21,370","23,039","24,447","26,283","27,890","29,451","31,324","33,062","34,863","37,257","39,699","42,505","46,437","49,400","52,987","56,351","59,695","62,808","67,161","70,768","74,292","78,055","81,997","85,784","90,648","95,698","100,328","106,475","112,028","118,226","124,794","131,423","138,536","144,950","150,793","158,086","165,386","173,491","181,827","190,609","198,370","207,191","216,824","226,713","236,184","246,622","257,486","265,928","274,780","287,155","298,283","309,603","321,626","332,783","343,026","354,161","367,264","381,091","395,812","411,727","426,910","440,450","456,115","472,985","491,170","509,446","529,577","549,197","567,536","585,792","605,220","627,168","649,889","673,904","697,836","720,346","743,481","769,052","794,842","822,603","850,358","879,466","907,645","937,487","970,169","1,005,637","1,040,457","1,077,864","1,118,107","1,154,917","1,194,085","1,239,684","1,288,130","1,337,022","1,385,494","1,436,019","1,482,503","1,532,135","1,584,384","1,639,350","1,697,054","1,751,919","1,804,702","1,855,331","1,906,613","1,963,239","2,025,409","2,086,864","2,152,020","2,214,137","2,267,153","2,328,405","2,395,471","2,459,613"
Peru,"12,491","13,489","14,420","15,628","16,325","17,837","19,250","20,914","21,648","25,331","27,517","28,699","31,190","33,931","36,976","40,459","42,534","45,928","47,372","51,189","54,817","58,526","61,847","65,015","67,307","68,822","72,059","76,306","80,604","84,495","88,541","92,273","94,933","99,483","104,020","108,769","111,698","115,754","119,959","123,979","129,751","135,905","141,779","148,285","155,671","164,476","170,039","174,884","178,914","183,198","187,400","191,758","196,515","199,696","203,736","208,823","214,788","220,749","225,132","229,736","232,992","237,156","240,908","244,388","247,925","251,338","254,936","257,447","260,810","264,689","268,602","272,364","275,989","279,419","282,365","285,213","288,477","292,004","295,599","299,080","302,718","305,703","309,278","312,911","316,448","319,646","322,710","326,326","330,123","333,867","337,724","341,586","345,537","349,500","353,590","357,681","362,087","366,550","371,096","375,961","379,884","384,797","389,717","395,005","400,683","407,492","414,735","422,183","428,850","433,100","439,890","447,624","455,409","463,875","471,012","478,024","483,133","489,680","498,555","507,996"
Portugal,"18,841","19,022","19,685","20,206","20,863","21,379","21,982","22,353","22,797","23,392","23,864","24,027","24,322","24,505","25,045","25,351","25,190","25,282","25,524","25,702","26,182","26,715","27,268","27,406","27,581","27,679","27,913","28,132","28,319","28,583","28,810","29,036","29,209","29,432","29,660","29,912","30,200","30,471","30,623","30,788","31,007","31,292","31,596","31,946","32,203","32,500","32,700","32,895","33,261","33,592","33,969","34,351","34,693","34,885","35,306","35,600","35,910","36,180","36,463","36,690","37,036","37,336","37,672","38,089","38,464","38,841","39,133","39,392","39,737","40,104","40,415","40,866","41,189","41,646","41,912","42,141","42,454","42,782","43,156","43,569","43,897","44,129","44,416","44,859","45,277","45,679","46,221","46,512","46,818","47,051","47,426","47,765","48,077","48,390","48,636","48,771","48,898","49,150","49,379","49,692","49,955","50,164","50,299","50,410","50,613","50,868","51,072","51,310","51,463","51,569","51,681","51,848","52,061","52,351","52,537","52,668","52,825","52,945","53,223","53,548"
Ecuador,"8,225","8,450","9,022","9,468","10,128","10,398","10,850","11,183","22,719","22,719","22,719","23,240","24,258","24,675","24,934","26,336","27,464","29,538","31,881","31,881","29,420","30,298","28,818","29,071","29,559","29,509","30,419","30,486","30,502","31,467","32,763","33,182","33,582","34,151","34,854","35,306","35,828","36,258","36,756","37,355","37,355","38,103","38,471","38,571","38,571","39,098","39,994","40,414","40,966","40,966","41,575","42,728","43,120","43,378","43,917","44,440","44,440","45,778","46,356","46,751","47,322","47,943","48,490","49,097","49,731","49,731","50,640","50,640","51,643","51,643","53,156","53,856","54,574","55,255","55,665","56,432","58,257","59,468","60,657","61,535","61,958","62,380","63,245","63,245","64,221","65,018","67,209","67,870","68,459","69,570","70,329","71,365","72,444","73,382","74,013","74,620","76,217","77,257","78,148","79,049","80,036","80,694","81,161","82,279","83,193","84,370","85,355","86,232","86,524","87,041","87,963","88,866","90,537","91,969","93,572","94,459","94,701","95,563","97,110","98,343"
Ireland,"13,271","13,980","14,758","15,251","15,652","16,040","16,671","17,607","18,184","18,561","19,262","19,648","19,877","20,253","20,612","20,833","21,176","21,506","21,772","21,983","22,248","22,385","22,541","22,760","22,996","23,135","23,242","23,401","23,827","23,956","24,048","24,112","24,200","24,251","24,315","24,391","24,506","24,582","24,639","24,698","24,735","24,803","24,841","24,876","24,929","24,990","25,062","25,066","25,111","25,142","25,163","25,183","25,201","25,207","25,215","25,231","25,238","25,250","25,295","25,303","25,321","25,334","25,341","25,355","25,368","25,374","25,379","25,383","25,391","25,396","25,405","25,414","25,437","25,439","25,462","25,473","25,477","25,489","25,498","25,509","25,527","25,531","25,538","25,542","25,565","25,589","25,611","25,628","25,638","25,670","25,683","25,698","25,730","25,750","25,760","25,766","25,802","25,819","25,826","25,845","25,869","25,881","25,892","25,929","25,942","26,027","26,065","26,109","26,162","26,208","26,253","26,303","26,372","26,470","26,644","26,712","26,768","26,801","26,838","26,929"
Sweden,"12,540","13,216","13,822","14,385","14,777","15,322","16,004","16,755","17,567","18,177","18,640","18,926","19,621","20,302","21,092","21,520","22,082","22,317","22,721","23,216","23,918","24,623","25,265","25,921","26,322","26,670","27,272","27,909","28,582","29,207","29,677","30,143","30,377","30,799","31,523","32,172","32,809","33,188","33,459","33,843","34,440","35,088","35,727","36,476","37,113","37,542","37,814","38,589","40,803","41,883","42,939","44,649","44,730","45,133","45,924","46,814","49,479","50,751","50,931","51,614","52,383","53,323","54,562","56,043","56,043","56,043","56,043","60,632","60,837","63,660","63,890","65,137","65,137","65,137","67,667","68,451","69,692","70,639","71,419","71,419","71,419","73,287","73,344","73,858","74,333","74,898","74,898","74,898","75,967","76,001","76,492","76,877","77,281","77,281","78,012","78,146","78,166","78,710","78,763","78,997","78,997","78,997","79,395","79,755","80,066","80,100","80,422","80,422","80,422","81,012","81,474","81,540","81,967","82,323","82,323","82,323","82,972","83,126","83,455","83,852"
Saudi Arabia,"6,380","7,142","8,274","9,362","10,484","11,631","12,772","13,930","15,102","16,299","17,522","18,811","20,077","21,402","22,753","24,097","25,459","27,011","28,656","30,251","31,938","33,731","35,432","37,136","39,048","41,014","42,925","44,830","46,869","49,176","52,016","54,752","57,345","59,854","62,545","65,077","67,719","70,161","72,560","74,795","76,726","78,541","80,185","81,766","83,384","85,261","87,142","89,011","91,182","93,157","95,748","98,869","101,914","105,283","108,571","112,288","116,021","119,942","123,308","127,541","132,048","136,315","141,234","145,991","150,292","154,233","157,612","161,005","164,144","167,267","170,639","174,577","178,504","182,493","186,436","190,823","194,225","197,608","201,801","205,929","209,509","213,716","217,108","220,144","223,327","226,486","229,480","232,259","235,111","237,803","240,474","243,238","245,851","248,416","250,920","253,349","255,825","258,156","260,394","262,772","264,973","266,941","268,934","270,831","272,590","274,219","275,905","277,478","278,835","280,093","281,435","282,824","284,226","285,793","287,262","288,690","289,947","291,468","293,037","294,519"
Israel,"12,758","12,982","13,265","13,491","13,713","13,942","14,498","14,803","15,058","15,298","15,443","15,555","15,728","15,834","15,946","16,101","16,185","16,208","16,246","16,289","16,310","16,381","16,436","16,454","16,477","16,506","16,529","16,548","16,579","16,589","16,607","16,617","16,643","16,659","16,667","16,683","16,690","16,712","16,717","16,734","16,757","16,793","16,872","16,987","17,012","17,071","17,169","17,285","17,377","17,495","17,562","17,752","17,863","18,032","18,180","18,355","18,569","18,795","18,972","19,055","19,237","19,495","19,783","20,036","20,339","20,633","20,778","21,082","21,512","22,044","22,400","22,800","23,421","23,755","24,441","25,244","26,257","27,047","28,055","29,170","29,958","30,749","32,222","33,557","34,825","36,266","37,464","38,670","40,632","42,360","44,188","46,059","47,459","49,365","50,289","52,003","54,042","56,085","57,982","59,475","60,678","61,956","63,985","66,293","68,299","70,036","70,970","72,218","72,815","74,430","76,198","77,919","79,559","80,991","82,324","83,002","84,722","86,593","88,151","89,822"
Austria,"14,476","14,595","14,671","14,749","14,795","14,873","14,925","15,002","15,071","15,148","15,225","15,274","15,357","15,402","15,452","15,531","15,558","15,597","15,621","15,650","15,684","15,752","15,774","15,833","15,871","15,882","15,961","15,997","16,058","16,109","16,201","16,242","16,269","16,321","16,353","16,404","16,436","16,486","16,503","16,539","16,557","16,591","16,628","16,655","16,685","16,731","16,733","16,759","16,771","16,805","16,843","16,898","16,902","16,968","16,979","17,005","17,034","17,064","17,078","17,109","17,135","17,189","17,203","17,223","17,271","17,323","17,341","17,380","17,408","17,449","17,477","17,522","17,580","17,654","17,723","17,766","17,873","17,941","18,050","18,165","18,280","18,365","18,421","18,513","18,615","18,709","18,783","18,897","18,948","19,021","19,154","19,270","19,439","19,573","19,655","19,743","19,827","19,929","20,099","20,214","20,338","20,472","20,558","20,677","20,850","20,955","21,130","21,212","21,304","21,385","21,481","21,566","21,696","21,837","21,919","22,033","22,106","22,245","22,439","22,594"
Mexico,"5,847","6,297","6,875","7,497","8,261","8,772","9,501","10,544","11,633","12,872","13,842","14,677","15,529","16,752","17,799","19,224","20,739","22,088","23,471","24,905","26,025","27,634","29,616","31,522","33,460","35,022","36,327","38,324","40,186","42,595","45,032","47,144","49,219","51,633","54,346","56,594","59,567","62,527","65,856","68,620","71,105","74,560","78,023","81,400","84,627","87,512","90,664","93,435","97,326","101,238","105,680","110,026","113,619","117,103","120,102","124,301","129,184","133,974","139,196","142,690","146,837","150,264","154,863","159,793","165,455","170,485","175,202","180,545","185,122","191,410","196,847","202,951","208,392","212,802","216,852","220,657","226,089","231,770","238,511","245,251","252,165","256,848","261,750","268,008","275,003","282,283","289,174","295,268","299,750","304,435","311,486","317,635","324,041","331,298","338,913","344,224","349,396","356,255","362,274","370,712","378,285","385,036","390,516","395,489","402,697","408,449","416,179","424,637","434,193","439,046","443,813","449,961","456,100","462,690","469,407","475,902","480,278","485,836","492,522","498,380"
