Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01
Argentina,"2,669","2,669","2,839","2,941","3,031","3,144","3,288","3,435","3,607","3,780","3,892","4,003","4,127","4,285","4,428","4,532","4,681","4,783","4,887","5,020","5,208","5,371","5,611","5,776","6,034","6,278","6,563","6,879","7,134","7,479","7,805","8,068","8,371","8,809","9,283","9,931","10,649","11,353","12,076","12,628","13,228","13,933","14,702","15,419","16,214","16,851","17,415","18,319","19,268","20,197","21,037","22,020","22,794","23,620","24,761","25,987","27,373","28,764","30,295","31,577","32,785","34,159","35,552","37,510","39,570","41,204","42,785","44,931","47,203","49,851","52,457","55,343","57,744","59,933","62,268","64,530","67,197","69,941","72,786","75,376","77,815","80,447","83,426","87,030","90,693","94,060","97,509","100,166","103,265","106,910","111,146","114,783","119,301","122,524","126,755","130,774","136,118","141,900","148,027","153,520","158,334","162,526","167,416","173,355","178,996","185,373","191,302","196,543","201,919","206,743","213,535","220,682","228,195","235,677","241,811","246,499","253,868","260,911","268,574","276,072","282,437","289,100","294,569","299,126","305,966","312,659","320,884","329,043","336,802","342,154","350,867","359,638","370,188","380,292","392,009","401,239","408,426","417,735","428,239","439,172","451,198","461,882","471,806","478,792","488,007","500,034","512,293","524,198","535,705","546,481","555,537","565,446","577,338","589,012","601,713","613,658","622,934","631,365","640,147","652,174","664,799","678,266","691,235","702,484","711,325","723,132","736,609","751,001","765,002","779,689","790,818","798,486","809,728","824,468","840,915","856,369","871,468","883,882","894,206","903,730","917,035","931,967","949,063","965,609","979,119","989,680","1,002,662","1,018,999","1,037,325","1,053,650","1,069,368","1,081,336","1,090,589","1,102,301","1,116,609","1,130,533","1,143,800","1,157,179","1,166,924","1,173,533"
Luxembourg,"3,444","3,480","3,537","3,550","3,558","3,618","3,654","3,665","3,695","3,711","3,723","3,729","3,741","3,769","3,784","3,802","3,812","3,824","3,828","3,840","3,851","3,859","3,871","3,877","3,886","3,888","3,894","3,904","3,915","3,923","3,930","3,945","3,947","3,958","3,971","3,980","3,981","3,990","3,992","3,993","3,995","4,001","4,008","4,012","4,016","4,018","4,019","4,020","4,024","4,027","4,032","4,035","4,039","4,040","4,046","4,049","4,052","4,055","4,063","4,070","4,072","4,075","4,085","4,091","4,099","4,105","4,120","4,121","4,133","4,140","4,151","4,173","4,217","4,242","4,256","4,299","4,345","4,395","4,447","4,476","4,522","4,542","4,603","4,650","4,719","4,777","4,842","4,925","4,956","5,056","5,122","5,285","5,409","5,483","5,605","5,639","5,725","5,854","5,952","6,056","6,189","6,272","6,321","6,375","6,533","6,616","6,695","6,793","6,855","6,864","6,917","7,007","7,073","7,113","7,169","7,205","7,216","7,242","7,300","7,368","7,405","7,439","7,458","7,469","7,499","7,566","7,637","7,704","7,762","7,775","7,794","7,838","7,928","7,928","6,580","6,625","6,673","6,677","6,702","6,745","6,811","6,854","6,896","6,950","6,960","6,974","7,023","7,088","7,159","7,194","7,238","7,244","7,284","7,394","7,541","7,718","7,804","7,907","7,916","8,016","8,090","8,158","8,233","8,311","8,357","8,376","8,431","8,509","8,595","8,709","8,797","8,890","8,925","8,979","9,119","9,219","9,360","9,514","9,722","9,731","9,840","10,030","10,244","10,471","10,646","10,888","11,010","11,241","11,671","12,333","12,851","13,713","14,204","14,399","14,884","15,659","16,356","17,134","17,933","18,782"
Moldova,"2,154","2,264","2,351","2,472","2,548","2,614","2,778","2,926","3,110","3,304","3,408","3,481","3,638","3,771","3,897","3,980","4,052","4,121","4,248","4,363","4,476","4,605","4,728","4,867","4,927","4,995","5,154","5,406","5,553","5,745","5,934","6,060","6,138","6,340","6,553","6,704","6,847","6,994","7,093","7,147","7,305","7,537","7,725","7,896","8,098","8,251","8,360","8,548","8,795","9,018","9,247","9,511","9,700","9,807","10,025","10,321","10,727","11,093","11,459","11,740","11,879","12,254","12,732","13,106","13,556","13,953","14,200","14,363","14,714","15,078","15,453","15,776","16,080","16,250","16,357","16,613","16,898","17,150","17,445","17,672","17,814","17,906","18,141","18,471","18,666","18,924","19,208","19,382","19,439","19,708","20,040","20,264","20,494","20,794","20,980","21,115","21,442","21,798","22,105","22,483","22,828","23,034","23,154","23,521","23,947","24,343","24,733","25,113","25,362","25,482","25,814","26,222","26,628","26,990","27,443","27,660","27,841","28,223","28,697","29,087","29,483","29,905","30,183","30,377","30,789","31,415","31,937","32,484","33,072","33,478","33,828","34,358","34,982","35,546","35,904","36,404","36,700","36,920","37,208","37,740","38,372","38,906","39,473","39,797","40,055","40,556","41,144","41,704","42,183","42,714","42,978","43,207","43,734","44,361","44,983","45,648","46,336","46,596","46,796","47,446","48,232","48,953","49,666","50,534","50,875","51,194","52,029","53,042","54,064","55,016","55,888","56,579","56,901","57,732","58,794","59,915","60,833","61,762","62,151","62,618","63,275","64,424","65,076","65,860","66,652","67,050","67,302","67,958","68,791","69,568","70,256","71,089","71,503","71,811","72,460","73,321","74,233","75,201","76,040","76,582"
Algeria,"2,268","2,418","2,534","2,629","2,718","2,811","2,910","3,007","3,127","3,256","3,382","3,517","3,649","3,848","4,006","4,154","4,295","4,474","4,648","4,838","4,997","5,182","5,369","5,558","5,723","5,891","6,067","6,253","6,442","6,629","6,821","7,019","7,201","7,377","7,542","7,728","7,918","8,113","8,306","8,503","8,697","8,857","8,997","9,134","9,267","9,394","9,513","9,626","9,733","9,831","9,935","10,050","10,154","10,265","10,382","10,484","10,589","10,698","10,810","10,919","11,031","11,147","11,268","11,385","11,504","11,631","11,771","11,920","12,076","12,248","12,445","12,685","12,968","13,273","13,571","13,907","14,272","14,657","15,070","15,500","15,941","16,404","16,879","17,348","17,808","18,242","18,712","19,195","19,689","20,216","20,770","21,355","21,948","22,549","23,084","23,691","24,278","24,872","25,484","26,159","26,764","27,357","27,973","28,615","29,229","29,831","30,394","30,950","31,465","31,972","32,504","33,055","33,626","34,155","34,693","35,214","35,712","36,204","36,699","37,187","37,664","38,133","38,583","39,025","39,444","39,847","40,258","40,667","41,068","41,460","41,858","42,228","42,619","43,016","43,403","43,781","44,146","44,494","44,833","45,158","45,469","45,773","46,071","46,364","46,653","46,938","47,216","47,488","47,752","48,007","48,254","48,496","48,734","48,966","49,194","49,413","49,623","49,826","50,023","50,214","50,400","50,579","50,754","50,914","51,067","51,213","51,368","51,530","51,690","51,847","51,995","52,136","52,270","52,399","52,520","52,658","52,804","52,940","53,072","53,225","53,399","53,584","53,777","53,998","54,203","54,402","54,616","54,829","55,081","55,357","55,630","55,880","56,143","56,419","56,706","57,026","57,332","57,651","57,942","58,272"
Kuwait,"1,524","1,658","1,751","1,915","1,995","2,080","2,248","2,399","2,614","2,892","3,075","3,288","3,440","3,740","4,024","4,377","4,619","4,983","5,278","5,804","6,289","6,567","7,208","7,623","8,688","9,286","10,277","11,028","11,975","12,860","13,802","14,850","15,691","16,764","17,568","18,609","19,564","20,464","21,302","21,967","22,575","23,267","24,112","25,184","26,192","27,043","27,762","28,649","29,359","29,921","30,644","31,131","31,848","32,510","33,140","33,823","34,432","34,952","35,466","35,920","36,431","36,958","37,533","38,074","38,678","39,145","39,650","40,291","41,033","41,879","42,788","43,703","44,391","44,942","45,524","46,195","46,940","47,859","48,672","49,303","49,941","50,644","51,245","52,007","52,840","53,580","54,058","54,894","55,508","56,174","56,877","57,668","58,221","58,904","59,204","59,763","60,434","61,185","61,872","62,625","63,309","63,773","64,379","65,149","65,903","66,529","66,957","67,448","67,911","68,299","68,774","69,425","70,045","70,727","71,199","71,713","72,400","73,068","73,785","74,486","75,185","75,697","76,205","76,827","77,470","78,145","78,767","79,269","79,957","80,528","80,960","81,573","82,271","82,945","83,578","84,224","84,636","85,109","85,811","86,478","87,378","88,243","88,963","89,582","90,387","91,244","92,082","92,822","93,475","94,211","94,764","95,472","96,301","96,999","97,824","98,528","99,049","99,434","99,964","100,683","101,299","101,851","102,441","103,199","103,544","103,981","104,568","105,182","105,676","106,087","106,458","107,025","107,592","108,268","108,743","109,441","110,076","110,568","111,116","111,893","112,737","113,269","114,015","114,744","115,483","116,146","116,832","117,718","118,531","119,420","120,232","120,927","121,635","122,317","123,092","123,906","124,666","125,337","125,926","126,534"
Thailand,"2,672","2,700","2,733","2,765","2,792","2,811","2,826","2,839","2,854","2,907","2,922","2,931","2,938","2,947","2,954","2,960","2,966","2,969","2,987","2,988","2,989","2,992","3,000","3,004","3,009","3,015","3,017","3,017","3,018","3,025","3,025","3,028","3,031","3,033","3,034","3,037","3,037","3,040","3,040","3,042","3,045","3,054","3,065","3,076","3,077","3,081","3,082","3,083","3,084","3,101","3,102","3,104","3,112","3,119","3,121","3,125","3,125","3,129","3,134","3,135","3,135","3,135","3,135","3,141","3,146","3,147","3,148","3,151","3,156","3,157","3,158","3,162","3,162","3,162","3,169","3,171","3,173","3,179","3,180","3,185","3,190","3,195","3,195","3,197","3,202","3,202","3,216","3,217","3,220","3,227","3,232","3,236","3,239","3,246","3,249","3,250","3,255","3,261","3,269","3,279","3,282","3,291","3,295","3,297","3,298","3,304","3,310","3,312","3,317","3,320","3,321","3,328","3,330","3,345","3,348","3,351","3,351","3,351","3,356","3,359","3,376","3,376","3,377","3,378","3,381","3,382","3,389","3,390","3,390","3,395","3,397","3,402","3,403","3,404","3,410","3,411","3,411","3,412","3,417","3,425","3,427","3,431","3,438","3,444","3,445","3,446","3,447","3,454","3,461","3,466","3,473","3,475","3,480","3,490","3,490","3,497","3,500","3,506","3,506","3,511","3,514","3,516","3,519","3,522","3,523","3,545","3,559","3,564","3,569","3,575","3,583","3,585","3,590","3,600","3,615","3,622","3,628","3,634","3,636","3,641","3,643","3,652","3,665","3,669","3,679","3,686","3,691","3,700","3,709","3,719","3,727","3,731","3,736","3,743","3,746","3,759","3,763","3,775","3,780","3,784"
Kazakhstan,"1,402","1,546","1,615","1,676","1,852","1,995","2,135","2,289","2,416","2,601","2,717","2,835","3,027","3,138","3,402","3,597","3,857","3,920","4,049","4,205","4,422","4,578","4,834","4,975","5,090","5,207","5,279","5,417","5,571","5,689","5,850","6,157","6,440","6,751","6,969","7,234","7,597","7,919","8,322","8,531","8,969","9,304","9,576","9,932","10,382","10,858","11,308","11,571","11,796","12,067","12,312","12,511","12,694","12,859","13,074","13,319","13,558","13,872","14,238","14,496","14,809","15,192","15,542","15,877","16,351","16,779","17,225","17,732","18,231","18,765","19,285","19,750","20,319","20,780","21,327","21,819","41,065","42,574","44,075","45,719","47,171","48,574","49,683","51,059","53,021","54,747","56,455","58,253","59,899","61,755","63,514","65,188","66,895","68,703","70,339","71,838","73,468","75,153","76,799","78,486","80,226","81,720","83,122","84,648","86,192","87,664","89,078","90,367","91,593","92,662","93,820","94,882","95,942","96,922","97,829","98,701","99,442","100,164","100,855","101,372","101,848","102,287","102,696","103,033","103,300","103,571","103,815","104,071","104,313","104,543","104,718","104,902","105,075","105,243","105,408","105,558","105,684","105,795","105,872","105,944","106,032","106,121","106,225","106,301","106,361","106,425","106,498","106,584","106,661","106,729","106,803","106,855","106,920","106,984","107,056","107,134","107,199","107,262","107,307","107,374","107,450","107,529","107,590","107,659","107,723","107,775","107,833","107,908","107,979","108,044","108,106","108,177","108,236","108,296","108,362","108,454","108,561","108,663","108,757","108,831","108,901","108,984","109,094","109,202","109,302","109,406","109,508","109,623","109,766","109,907","110,086","110,250","110,402","110,542","110,684","110,832","111,100","111,492","111,953","112,418"
Bahrain,"1,700","1,740","1,773","1,881","1,907","1,973","2,027","2,217","2,518","2,588","2,647","2,723","2,811","2,921","3,040","3,170","3,284","3,383","3,533","3,720","3,934","4,199","4,444","4,774","4,941","5,236","5,531","5,816","6,198","6,583","6,747","6,956","7,184","7,532","7,888","8,174","8,414","8,802","9,138","9,171","9,366","9,692","10,052","10,449","10,793","11,398","11,871","12,311","12,815","13,296","13,835","14,383","14,763","15,417","15,731","16,200","16,667","17,269","17,713","18,227","19,013","19,553","19,961","20,430","20,916","21,331","21,764","22,407","23,062","23,570","24,081","24,805","25,267","25,705","26,239","26,758","27,414","27,837","28,410","28,857","29,367","29,821","30,321","30,931","31,528","32,039","32,470","32,941","33,476","34,078","34,560","35,084","35,473","36,004","36,422","36,936","37,316","37,637","37,996","38,458","38,747","39,131","39,482","39,921","40,311","40,755","40,982","41,190","41,536","41,835","42,132","42,514","42,889","43,307","43,629","44,011","44,397","44,804","45,264","45,726","46,052","46,430","46,835","47,185","47,581","47,950","48,303","48,661","49,038","49,330","49,719","50,076","50,393","50,756","51,113","51,391","51,574","51,972","52,440","52,807","53,433","54,095","54,771","55,415","56,076","56,778","57,450","58,207","58,839","59,586","60,307","60,965","61,643","62,484","63,189","63,879","64,499","65,039","65,752","66,402","67,014","67,701","68,190","68,775","69,361","69,848","70,422","70,864","71,374","71,803","72,310","72,662","73,116","73,476","73,932","74,422","74,860","75,287","75,614","75,948","76,272","76,621","76,954","77,325","77,571","77,902","78,224","78,533","78,907","79,211","79,574","79,975","80,255","80,533","80,765","81,022","81,262","81,466","81,645","81,923"
Greece,"2,207","2,224","2,235","2,235","2,245","2,401","2,408","2,463","2,490","2,506","2,517","2,534","2,566","2,576","2,591","2,612","2,620","2,626","2,632","2,642","2,663","2,678","2,691","2,710","2,716","2,726","2,744","2,760","2,770","2,810","2,819","2,834","2,836","2,840","2,850","2,853","2,874","2,876","2,878","2,882","2,892","2,903","2,906","2,909","2,915","2,917","2,918","2,937","2,937","2,952","2,967","2,980","2,997","3,049","3,058","3,068","3,088","3,108","3,112","3,121","3,134","3,148","3,203","3,227","3,237","3,256","3,266","3,287","3,302","3,310","3,321","3,343","3,366","3,376","3,390","3,409","3,432","3,458","3,486","3,511","3,519","3,562","3,589","3,622","3,672","3,732","3,772","3,803","3,826","3,883","3,910","3,939","3,964","3,983","4,007","4,012","4,048","4,077","4,110","4,135","4,166","4,193","4,227","4,279","4,336","4,401","4,477","4,587","4,662","4,737","4,855","4,974","5,123","5,270","5,421","5,623","5,749","5,942","6,177","6,381","6,632","6,858","7,075","7,222","7,472","7,684","7,934","8,138","8,381","8,664","8,819","8,987","9,280","9,531","9,800","9,977","10,134","10,317","10,524","10,757","10,998","11,200","11,386","11,524","11,663","11,832","12,080","12,452","12,734","13,036","13,240","13,420","13,730","14,041","14,400","14,738","14,978","15,142","15,595","15,928","16,286","16,627","16,913","17,228","17,444","17,707","18,123","18,475","18,886","19,346","19,613","19,842","20,142","20,541","20,947","21,381","21,772","22,078","22,358","22,652","23,060","23,495","23,947","24,450","24,932","25,370","25,802","26,469","27,334","28,216","29,057","29,992","30,782","31,496","32,752","34,299","35,510","37,196","39,251","40,929"
Hungary,"1,652","1,763","1,834","1,916","1,984","2,098","2,168","2,284","2,383","2,443","2,500","2,583","2,649","2,727","2,775","2,863","2,942","2,998","3,035","3,065","3,111","3,150","3,178","3,213","3,263","3,284","3,313","3,341","3,380","3,417","3,473","3,509","3,535","3,556","3,598","3,641","3,678","3,713","3,741","3,756","3,771","3,793","3,816","3,841","3,867","3,876","3,892","3,921","3,931","3,954","3,970","3,990","4,008","4,014","4,017","4,027","4,039","4,053","4,064","4,069","4,076","4,077","4,078","4,079","4,081","4,086","4,094","4,102","4,107","4,114","4,123","4,127","4,138","4,142","4,145","4,155","4,157","4,166","4,172","4,174","4,183","4,189","4,205","4,210","4,220","4,223","4,229","4,234","4,247","4,258","4,263","4,279","4,293","4,315","4,333","4,339","4,347","4,366","4,380","4,398","4,424","4,435","4,448","4,456","4,465","4,484","4,505","4,526","4,535","4,544","4,553","4,564","4,597","4,621","4,653","4,696","4,731","4,746","4,768","4,813","4,853","4,877","4,916","4,946","4,970","5,002","5,046","5,098","5,133","5,155","5,191","5,215","5,288","5,379","5,511","5,669","5,961","6,139","6,257","6,622","6,923","7,382","7,892","8,387","8,963","9,304","9,715","10,191","10,909","11,825","12,309","13,153","13,879","14,460","15,170","16,111","16,920","17,990","18,866","19,499","20,450","21,200","22,127","23,077","24,014","24,716","25,567","26,461","27,309","28,631","29,717","30,575","31,480","32,298","33,114","34,046","35,222","36,596","37,664","38,837","39,862","40,782","41,732","43,025","44,816","46,290","47,768","48,757","50,180","52,212","54,278","56,098","59,247","61,563","63,642","65,933","68,127","71,413","75,321","79,199"
