Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23
Russia,"11,056","11,773","12,553","13,294","14,070","14,682","15,418","16,457","17,474","18,649","19,719","20,690","21,511","22,638","23,915","25,354","27,036","28,095","29,465","30,564","31,752","32,913","34,125","35,783","37,335","38,625","39,781","40,995","42,406","43,953","45,614","47,394","48,977","50,383","51,930","53,731","55,689","57,581","59,518","61,300","62,774","64,525",28,"68,527","70,693","72,933","74,852","76,418","78,298","80,402","82,599","84,896","87,175","89,193","90,828","92,820","95,080","97,434","99,869","101,967","103,892","105,497","107,445","107,445","111,846","114,171","116,481","118,477","120,074","122,000","124,137","126,103","128,194","130,504","132,487","134,049","136,035","138,205","140,138","140,138","144,375","146,197","147,584","149,317","151,294","153,411","155,605","157,815","158,973","160,999","162,773","164,821","166,952","169,092","171,249","173,030","174,383","176,132","178,163","180,217","182,341","184,339","185,981","187,253","188,911","188,911","192,966","195,135","197,295","198,916","200,094","201,452","203,623","205,824","205,823","209,947","211,043","212,413","214,522","216,513","218,600","220,783","222,922","224,060","225,902","227,606","229,541","231,597","231,693","236,033"
Brazil,296,296,296,296,"1,373","1,373","1,373","1,373","1,373","1,373","1,373","1,373","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","3,459","3,459","3,462","3,462","3,462","3,462","3,462","3,462","3,462","3,462","3,462","3,461","3,461","3,461","4,104","4,104",126,"4,378","4,378","4,378","4,378","4,378","4,378","4,643","4,643","4,706","4,706","4,706","4,706","5,566","6,421","6,421","6,947","7,055","7,552","7,663","8,044","8,289","11,032","11,339","11,436","11,436","11,814","12,602","12,948","13,452","13,766","13,766","14,196","14,445","14,445","15,184","15,479","15,668","15,667","15,667","20,304","20,509","21,020","21,234","21,509","21,508","21,508","21,507","21,507","23,097","23,097","23,096","23,096","23,096","23,095","23,095","23,094","23,094","23,093","23,093","59,252","59,251","59,250","59,249","59,247","61,574","61,573","62,042","62,040","62,664","62,085","62,084","62,202","62,201","62,200","62,198","62,197","63,290","63,289","63,288","63,287","63,285","64,532","64,531","64,616","66,476","66,475","66,474"
Canada,"12,920","13,452","13,677","14,203","14,826","15,099","16,220","16,430","17,490","18,130","18,326","19,009","19,629","19,999","21,367","22,050","22,050","23,778","24,359","24,921","25,795","26,636","27,346","28,297","30,099","30,099","30,356","30,983","31,019","32,495","33,567","34,500","35,100","35,538","36,471","36,524","37,267","37,974","38,700","39,313","39,857","40,597",182,"42,332","43,334","44,169","44,966","45,716","46,555","47,487","48,530","49,530","50,286","51,168","51,845","52,732","53,771","54,926","56,033","57,060","57,060","58,754","59,753","60,837","62,005","63,149","64,013","64,772","65,797","66,744","67,794","68,850","69,963","70,925","72,115","73,398","73,396","75,463","76,455","77,227","77,913","78,833","80,009","80,939","82,072","83,249","84,328","85,104","86,287","87,473","88,515","89,727","91,057","92,214","93,238","94,641","95,781","96,918","97,910","98,442","99,616","100,674","102,310","103,244","103,241","105,818","107,239","108,517","109,698","110,615","112,157","113,109","114,339","115,608","116,580","117,736","119,253","120,217","121,255","122,682","124,018","125,483","126,465","128,094","129,153","130,348","131,636","133,216","134,343","135,365"
Belgium,"11,588","12,027","12,597","13,269","13,969","14,419","14,789","15,502","16,313","16,313","16,313","18,468","19,000","19,563","20,532","21,847","22,520","36,582","38,025","39,362","40,914","42,566","44,456","46,649","48,846","50,451","51,385","52,222","53,839","55,711","57,302","58,961","60,157","61,276","62,174","63,807","65,375","66,357","67,442","68,030","68,663","69,477",810,"72,237","73,201","74,791","75,637","76,334","76,333","77,704","78,728","79,733","80,755","81,963","82,725","83,682","84,894","86,025","87,169","88,398","89,434","90,183","91,136","91,135","93,835","94,829","94,828","94,827","97,671","98,824","100,265","101,709","102,850","102,849","102,848","105,805","106,924","107,968","109,635","110,835","110,834","110,833","113,287","114,061","115,237","116,455","117,489","117,487","117,486","119,966","120,610","121,890","123,279","124,644","124,642","124,641","124,639","128,049","129,511","130,601","130,599","130,597","134,813","135,891","137,008","139,626","141,833","144,107","146,138","146,887","149,061","150,351","152,407","154,513","154,511","156,888","160,343","161,505","162,880","164,909","165,952","169,230","171,050","172,430","173,163","174,526","176,773","178,881","181,061","182,783"
Netherlands,"8,634","9,041","9,041","9,041","10,004","10,004","10,004","10,913","10,913","11,319","11,319","11,319","12,240","12,453","12,824","13,184","13,184","13,184","13,768","13,768","14,198","14,570","14,570","14,570","14,857","15,475","15,778","16,091","16,508","16,809","16,809","16,809","17,358","17,652","17,652","17,652","18,315","18,315","18,315","18,966","18,966","19,585",345,"20,328","20,380","20,380","20,400","21,004","21,511","22,117","22,654","22,654","22,654","24,196","24,774","25,424","26,041","26,561","26,561","26,560","27,791","28,271","28,271","29,496","30,193","30,193","30,192","31,650","32,120","32,792","33,307","33,700","33,700","33,700","35,009","35,972","35,972","35,971","35,971","35,971","35,971","35,971","35,970","39,796","39,796","39,795","39,795","39,795","39,795","44,588","44,588","44,588","44,587","44,587","44,587","44,587","49,710","49,710","49,709","49,709","49,709","49,708","49,708","56,189","56,189","56,189","56,188","56,188","56,188","56,187","63,008","63,007","63,007","63,007","63,006","63,006","63,005","69,751","69,750","69,750","69,749","69,749","69,749","69,748","76,592","76,592","76,591","76,591","76,590","76,590"
Switzerland,"23,849","23,849","25,004","25,566","25,933","26,293","26,293","26,293","27,182","28,343","28,343","28,343","29,637","30,100","30,758","31,371","31,890","32,378","32,670","33,092","33,550","33,550","34,857","35,383","35,772","36,144","36,611","37,215","37,954","38,659","39,247","39,709","39,985","40,486","41,098","41,825","42,129","42,442","42,837","43,031","43,373","44,015",222,"45,172","45,636","45,979","46,154","46,336","46,714","47,335","48,081","48,550","48,952","49,146","49,587","50,336","51,048","51,739","52,446","53,045","53,297","53,827","54,924","56,163","57,074","58,059","58,677","58,892","59,529","60,543","61,764","62,998","64,168","65,044","65,469","66,169","67,469","69,221","70,974","72,141","72,139","73,524","74,168","75,372","76,404","77,456","78,401","79,000","79,284","79,785","80,896","81,823","82,644","83,408","83,948","84,118","84,641","85,422","86,234","87,003","87,637","87,635","88,333","88,877","89,800","90,625","91,424","92,139","92,577","92,804","93,300","94,211","94,997","95,733","96,489","97,028","97,269","97,823","98,694","99,462","100,306","101,133","101,779","102,099","102,769","104,012","105,073","106,249","107,392","108,202"
India,220,243,243,291,291,325,335,363,393,420,453,482,519,559,602,654,708,758,802,864,925,984,"1,042","1,104","1,166","1,213","1,275","1,344","1,413","1,480","1,548","1,616","1,671","1,744","1,823","1,898","1,973","2,056","2,135","2,200","2,267","2,352",3,"2,527","2,619","2,710","2,783","2,876","2,976","3,077","3,181","3,281","3,384","3,462","3,564","3,670","3,780","3,889","3,993","4,102","4,186","4,292","4,411","4,530","4,658","4,796","4,934","5,038","5,173","5,329","5,480","5,636","5,795","5,963","6,086","6,238","6,396","6,562","6,737","6,913","7,093","7,223","7,398","7,588","7,781","7,987","8,191","8,394","8,552","8,760","8,991","9,228","9,469","9,730","9,989","10,174","10,416","10,664","10,918","11,173","11,477","11,797","12,170","12,552","12,848","13,171","13,636","14,016","14,351","14,627","15,105","15,554","16,035","16,497","16,930","17,450","17,795","18,300","18,830","19,431","20,045","20,673","21,213","21,742","22,392","22,972","23,636","24,218","24,958","25,538"
Peru,"3,684","3,867","4,122","4,360","4,489","4,723","5,168","5,618","6,016","6,618","7,059","7,266","8,116","8,985","9,652","10,388","10,785","11,376","11,692","12,331","13,025","13,588","14,351","14,990","15,314","15,555","16,140","16,781","17,845","18,394","19,156","19,767","20,085","20,645","21,733","22,373","22,798","23,946","24,936","25,541","26,597","27,493",124,"29,263","30,752","32,153","32,692","33,176","33,872","34,485","35,049","35,611","36,185","36,548","37,267","38,117","38,927","39,925","40,623","41,300","41,773","42,383","43,028","43,689","44,340","44,984","45,639","46,054","46,714","47,377","48,041","48,674","49,297","49,901","50,391","50,937","51,541","52,173","52,799","53,432","54,065","54,604","55,227","55,862","56,495","57,101","57,733","58,367","58,924","59,535","60,140","60,745","61,350","61,900","62,534","63,171","63,923","64,665","65,420","66,175","66,849","67,578","68,182","68,799","69,490","70,234","71,145","72,037","72,825","73,241","73,914","74,716","75,521","76,414","77,181","77,943","78,436","79,115","80,047","81,060","81,908","82,907","83,969","84,578","85,341","86,339","86,336","88,251","89,313","90,375"
Portugal,"20,430","21,678","23,133","23,133","23,133","26,672","27,925","29,473","30,967","32,414","32,414","35,321","37,223","37,223","38,814","40,205","41,860","41,860","44,132","46,038","46,116","47,655","49,204","50,767","50,767","50,767","54,317","55,525","57,090","58,828","58,828","60,594","63,970","64,939","66,079","66,080","67,620","67,620","67,621","67,621","67,622","74,916",134,"78,030","78,030","78,031","79,657","83,066","83,067","83,068","85,698","85,698","85,699","85,700","92,269","93,553","93,553","93,554","95,680","95,680","95,681","98,705","98,706","101,227","102,683","102,684","102,685","102,686","102,686","108,077","108,078","108,078","108,079","108,080","108,081","115,534","116,744","118,237","118,238","118,239","118,240","124,697","124,698","124,699","127,463","129,115","129,116","129,117","133,408","134,066","137,013","138,644","138,645","138,646","138,648","143,861","145,216","146,832","146,833","149,941","149,943","149,944","149,945","153,215","153,216","156,155","156,157","159,207","159,208","159,209","163,965","165,649","167,308","167,310","167,311","167,312","172,028","172,029","174,948","176,515","176,517","176,518","176,520","176,521","176,522","182,670","184,473","186,088","186,089","186,091"
Ecuador,"1,580","1,580","1,753","1,803","1,839","1,892","1,892","1,975","3,203","3,203","3,203","3,487","3,487","3,487","3,914","4,078","4,190","4,458","4,544","4,544","4,613","4,717","4,665","4,742","4,777","4,777","4,830","4,933","5,050","5,101","5,301","5,397","5,482","5,574","5,692","5,768","5,923","5,987","6,022","6,049","6,049","6,218",188,"6,460","6,459","6,664","6,670","6,739","6,774","6,774","6,857","7,188","7,229","7,238","7,272","7,271","7,271","7,271","7,609","7,609","7,648","7,705","7,704","7,773","7,822","7,822","7,901","7,901","7,900","7,900","8,091","8,091","8,206","8,223","8,271","8,345","8,631","8,852","8,996","9,202","9,285","9,285","9,536","9,535","9,726","9,902","10,287","10,341","10,390","10,587","10,783","11,022","11,279","11,478","11,564","11,563","11,768","12,063","12,287","12,523","12,695","12,757","12,756","13,051","13,241","13,487","13,714","13,927","13,966","14,014","14,191","14,396","14,635","14,818","14,817","15,118","15,154","15,206","15,391","15,644","15,869","16,107","16,168","16,208","16,360","16,578","16,821","17,053","17,219","17,359"
Ireland,"18,358","18,358","18,358","18,358","18,358","22,598","22,598","22,598","22,598","25,785","25,785","25,785","31,179","31,179","31,179","31,179","34,302","34,302","34,302","43,493","43,493","43,493","43,493","43,493","43,493","43,493","52,414","52,414","52,491","52,489","52,488","52,486","52,484","59,949","59,947","59,945","59,943","59,942","59,940","59,938","66,053","66,051",332,"66,047","66,045","66,043","66,041","70,624","70,622","70,619","70,617","70,615","70,613","70,611","74,533","74,531","74,528","74,526","74,524","74,522","74,519","78,325","78,322","79,707","80,346","80,885","80,883","81,623","82,039","82,716","83,319","84,064","84,871","84,868","86,082","87,025","87,947","88,708","90,311","91,980","91,977","94,735","95,972","96,853","97,655","99,541","101,346","101,343","104,656","105,932","106,834","107,704","109,626","111,476","111,472","114,928","116,274","117,202","118,033","119,849","121,492","121,489","124,408","125,434","126,389","127,270","128,049","128,698","128,694","128,691","130,334","131,110","132,084","132,080","133,962","133,958","135,679","136,469","137,659","139,091","141,379","143,529","143,525","146,733","146,729","148,751","148,747","153,798","155,160","155,155"
Sweden,"7,387","7,387","7,387","7,387","7,387","9,357","9,357","9,357","9,357","9,357","9,357","9,357","11,833","11,833","11,833","11,833","11,833","11,833","11,833","14,704","14,704","14,704","14,704","14,704","14,704","14,704","17,576","17,576","17,590","17,589","17,589","17,589","17,588","20,799","20,798","20,798","20,798","20,797","20,797","20,796","23,659","23,659",423,"23,658","23,658","23,657","23,657","27,292","27,292","27,291","27,291","27,290","27,290","27,289","27,289","32,192","32,191","32,190","32,190","32,189","32,189","32,188","32,188","38,195","38,194","38,193","38,193","38,192","38,191","44,028","44,028","44,027","44,026","44,025","44,025","44,024","51,400","51,399","51,399","51,398","51,397","51,396","51,503","59,404","59,403","59,402","59,401","59,400","59,399","67,496","67,495","67,494","67,492","67,491","67,490","67,489","67,488","74,355","74,354","74,353","74,352","74,350","81,217","80,201","80,200","80,198","80,197","80,196","80,194","80,193","80,192","85,431","85,429","85,428","85,426","85,425","85,424","85,422","90,736","90,735","90,733","90,731","90,730","90,728","90,727","96,314","101,900","101,899","101,897","101,895"
Saudi Arabia,"4,309","4,309","4,309","5,170","5,170","14,362","5,745","5,745","5,745","5,745","5,745","5,745","5,745","5,745","5,745","9,392","9,760","10,127","10,487","10,818","11,193","11,653","12,027","12,452","12,916","13,425","13,856","14,274","14,783","15,263","15,773","16,877","17,324","17,787","18,307","18,737","19,194","19,698","20,242","20,775","21,253","21,699",13,"22,652","23,201","23,666","23,664","24,561","25,049","25,515","26,139","26,835","27,554","28,087","28,685","29,321","29,966","29,965","31,249","31,805","32,385","32,891","33,564","34,440","35,186","35,895","36,918","37,882","40,445","40,443","42,517","42,516","43,110","44,416","45,710","47,092","48,100","49,627","50,886","52,381","52,379","55,554","57,972","59,496","61,020","62,581","63,924","65,196","67,093","67,090","69,953","71,620","71,617","75,286","76,664","78,311","79,928","81,422","83,065","84,568","84,565","87,719","87,715","91,095","92,894","94,381","96,122","97,413","98,461","99,643","101,197","102,687","104,277","105,944","107,685","109,356","111,052","112,792","112,787","116,751","116,746","120,475","120,470","123,780","125,515","125,509","129,021","129,015","129,010","129,004"
Israel,"21,634","21,634","21,634","21,634","27,763","27,763","27,763","27,763","34,971","34,971","34,971","34,971","36,177","42,108","42,108","42,108","45,060","45,872","46,708","48,189","48,885","49,963","51,172","52,109","52,598","53,902","54,277","55,127","56,258","56,255","57,733","57,731","58,538","59,316","60,492","60,716","57,746","58,309","58,438","58,855","59,337","60,067",31,"61,463","61,693","61,804","61,804","63,326","64,528","65,952","67,662","69,351","70,612","72,075","73,716","75,318","76,858","79,135","80,415","81,321","82,272","83,943","85,769","87,495","87,495","87,495","87,495","92,510","93,925","96,336","96,336","100,076","100,076","103,181","104,651","106,363","108,827","111,366","111,366","116,331","116,331","120,365","122,966","126,419","129,611","129,611","132,799","132,799","137,687","143,229","143,229","149,984","153,507","153,507","158,433","160,635","163,521","163,521","166,918","173,662","173,662","173,662","179,587","179,587","179,587","179,587","179,587","179,587","193,743","195,148","195,148","200,306","203,581","203,581","203,581","203,581","203,581","214,192","217,118","220,090","223,170","225,209","226,140","226,140","226,140","233,898","237,029","237,029","237,029","237,029"
Austria,"18,078","18,795","19,534","19,902","20,313","20,987","22,406","22,854","23,615","24,549","25,274","25,819","26,601","27,509","28,469","29,321","29,936","30,462","30,986","31,742","32,450","32,450","33,761","34,608","35,143","35,473","36,564","37,335","38,290","39,039","39,710","40,278","40,673","41,379","42,174","42,845","43,383","44,035","44,645","45,031","45,680","46,514",74,"48,246","49,116","49,825","50,189","50,695","51,425","52,369","53,255","53,972","54,381","54,953","55,637","56,238","56,237","57,373","57,860","58,289","58,602","59,160","60,038","60,037","61,315","61,989","62,252","62,830","63,570","64,247","64,875","65,562","66,344","66,901","67,328","68,036","68,937","69,804","70,558","71,354","71,922","72,620","73,290","74,185","75,017","75,877","76,789","77,346","77,775","78,608","79,513","80,628","81,522","82,484","83,102","88,625","88,623","90,425","90,424","92,549","93,330","94,106","94,689","95,563","96,621","97,667","98,822","99,637","100,467","101,034","101,737","102,525","104,008","105,119","105,998","106,732","107,162","108,131","109,074","110,014","111,335","111,991","113,003","113,620","115,151","116,295","117,760","119,309","120,610","121,477"
Mexico,311,311,375,381,384,384,384,384,398,398,508,525,551,597,635,635,707,727,727,776,820,820,860,957,994,"1,016","1,048","1,103","1,104","1,211","1,271","1,271","1,338","1,376","1,442","1,442","1,567","1,567","1,674","1,702","1,752","1,825",67,"1,901","1,901","2,104","2,104","2,190","2,275","2,355","2,438","2,522","2,579","2,611","2,673","2,771","2,866","2,866","3,055","3,118","3,155","3,221","3,325","3,427","3,518","3,614","3,677","3,720","3,790","3,893","4,000","4,101","4,205","4,274","4,314","4,395","4,511","4,622","4,735","4,847","4,924","4,972","4,972","5,184","5,310","5,427","5,546","5,611","5,648","5,737","5,862","5,958","6,063","6,195","6,315","6,371","6,418","6,552","6,680","6,818","6,946","7,067","7,118","7,164","7,285","7,389","7,505","7,627","7,747","7,791","7,834","7,952","8,072","8,189","8,303","8,413","8,457","8,499","8,615","8,731","8,846","8,961","9,070","9,116","9,153","9,269","9,383","9,496","9,596","9,707"
Singapore,"12,423","16,203","16,203","16,203","16,203","16,203","16,203","16,203","16,203","20,815","20,815","20,815","20,815","24,600","24,600","24,600","24,600","24,600","24,600","24,600","30,016","30,016","30,016","30,016","30,016","30,016","30,016","38,333","38,372","38,371","38,371","42,132","42,132","42,131","50,369","50,368","50,367","50,366","50,365","50,364","50,363","57,251",4,"57,249","57,247","57,246","57,245","57,244","69,865","69,864","69,862","69,861","69,859","69,858","69,856","83,569","83,568","83,566","83,564","83,562","83,560","83,559","98,516","98,514","98,512","98,510","98,508","98,506","98,504","116,994","116,991","116,989","116,986","116,984","116,981","116,979","129,520","129,517","129,515","129,512","129,509","129,506","129,503","129,501","148,069","148,066","148,063","148,060","148,056","172,509","172,506","172,502","172,498","172,494","172,491","172,487","199,908","199,904","199,900","199,896","199,891","199,887","199,883","225,681","225,677","225,672","225,667","225,662","225,657","225,652","251,828","251,823","251,817","251,812","251,806","251,801","251,796","275,107","275,101","275,095","275,089","275,083","275,078","275,072","298,121","298,115","298,108","298,102","298,096","298,089"
Japan,796,796,880,892,923,985,"1,033","1,075","1,120","1,166","1,179","1,191","1,269","1,299","1,309","1,377","1,435","1,449","1,459","1,473","1,473","1,502","1,597","1,676","1,694","1,725","1,768","1,768","1,843","1,843","1,900","1,932","1,977","2,021","2,041","2,067","2,099","2,122","2,144","3,442","2,183","2,203",7,"2,251","2,275","2,296","2,313","2,343","2,374","2,400","2,431","2,462","2,486","2,505","2,538","2,567","2,599","2,626","2,658","2,678","2,695","2,724","2,752","3,134","3,189","3,234","3,263","3,304","3,358","3,396","3,443","3,485","3,531","3,572","3,594","3,649","3,696","3,758","3,810","3,877","3,915","3,953","4,033","4,098","4,171","4,273","4,362","4,417","4,445","4,542","4,639","4,739","4,880","4,952","5,022","5,060","5,200","5,303","5,441","5,516","5,571","5,657","5,698","5,902","6,053","6,210","6,375","6,523","6,615","6,716","6,937","7,097","7,425","7,608","7,799","7,919","8,038","8,101","8,370","8,584","8,760","9,207","9,312","9,385","9,604","9,778","9,962","10,146","10,332","10,450"
Chile,"5,149","5,434","5,696","5,945","6,216","6,401","6,734","7,070","7,442","7,806","8,159","8,434","8,692","9,030","9,443","9,910","10,431","10,788","11,202","11,618","12,142","12,776","13,390","14,015","14,683","15,383","15,868","16,413","17,042","17,876","18,346","19,035","19,952","20,799","21,451","22,306","23,148","23,945","24,700","25,552","26,237","26,937",47,"28,610","29,490","30,490","31,374","32,077","32,890","33,838","34,994","35,985","37,098","38,146","39,075","39,833","40,876","41,856","42,913","43,967","44,950","45,712","46,372","47,260","48,324","49,373","50,424","51,399","52,062","52,719","53,631","54,584","55,522","56,481","57,359","58,056","58,054","59,163","59,977","60,880","61,820","62,675","63,305","63,850","64,730","65,655","66,609","67,610","68,522","69,161","69,797","70,695","71,671","72,596","73,416","74,269","74,926","75,593","76,578","77,677","78,676","79,703","80,829","81,747","82,640","83,699","84,893","86,167","87,466","88,733","89,716","90,832","92,022","93,339","94,750","96,235","97,593","98,753","99,762","100,994","102,435","103,922","105,533","106,852","108,062","109,067","110,437","111,932","113,483","115,151"
Pakistan,358,383,419,446,472,506,534,564,625,654,654,682,712,751,788,825,878,919,962,"1,007","1,053","1,108","1,165","1,222","1,284","1,335","1,385","1,438","1,501","1,563","1,631","1,695","1,758","1,816","1,880","1,949","2,024","2,090","2,149","2,194","2,227","2,265",6,"2,359","2,413","2,481","2,545","2,621","2,699","2,791","2,894","2,994","3,099","3,200","3,311","3,419","3,539","3,667","3,802","3,936","4,068","4,181","4,308","4,449","4,581","4,724","4,854","4,992","5,104","5,209","5,308","5,403","5,498","5,611","5,715","5,809","5,911","6,011","6,115","6,214","6,330","6,430","6,541","6,640","6,750","6,855","6,962","7,071","7,172","7,267","7,365","7,474","7,582","7,686","7,787","7,873","7,953","8,036","8,137","8,236","8,342","8,447","8,546","8,634","8,730","8,827","8,920","9,023","9,086","9,085","9,183","9,236","9,304","9,396","9,505","9,610","9,703","9,784","9,877","9,963","10,070","10,177","10,285","10,385","10,464","10,567","10,673","10,789","10,903","11,015"
Poland,"4,467","4,747","5,098","5,397","5,661","5,928","6,310","6,625","7,007","7,372","7,679","7,870","8,211","8,575","8,931","9,370","9,671","9,933","10,141","10,418","10,846","11,256","11,719","12,172","12,601","12,979","13,417","13,954","14,645","15,225","15,888","16,386","16,804","17,258","17,829","18,420","19,011","19,839","20,276","20,596","21,182","21,790",27,"23,077","23,753","24,189","24,611","24,992","25,553","26,331","26,815","27,432","27,911","28,300","28,742","29,325","29,830","30,410","30,889","31,408","31,408","32,264","32,950","33,581","34,287","34,887","35,454","35,829","36,389","36,982","37,647","38,236","38,840","39,475","39,622","40,199","40,863","41,476","42,210","42,809","43,317","43,748","44,295","44,295","45,459","45,459","47,024","47,024","47,916","47,916","49,164","49,838","49,838","51,180","51,180","52,101","52,102","53,311","53,311","54,672","54,672","55,365","56,399","56,999","57,790","58,400","59,329","60,079","60,710","61,180","61,863","62,752","62,752","64,373","58,112","58,112","59,045","59,657","60,293","60,984","60,984","60,985","62,781","63,129","63,672","63,672","63,672","65,893","65,893","67,091"
